,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
0,LISNAMALLARD (MILLBANK) HOUSE,Omagh Bus Station,0.66,Dr. QUINN & PARTNERS                ,3.14,BT49 0NA
1,BELLARENA,Bellarena Rail Halt,1.54,Dr. QUINN & PARTNERS                ,7.38,BT49 0NA
2,BALLYMOYER,Newry Rail Station,10.37,Dr. QUINN & PARTNERS                ,3.91,BT49 0NA
3,CREEVENAGH,Omagh Bus Station,1.12,Dr. QUINN & PARTNERS                ,2.43,BT49 0NA
4,EDENFEL,Omagh Bus Station,1.51,Dr. QUINN & PARTNERS                ,2.07,BT49 0NA
5,ARDNARGLE,Limavady Bus Station,0.93,Dr. QUINN & PARTNERS                ,1.99,BT49 0NA
6,WALWORTH,Limavady Bus Station,4.85,Dr. QUINN & PARTNERS                ,5.46,BT49 0NA
7,MOORE LODGE,Ballymoney Rail Station,9.79,Dr. MCCORMACK & PARTNERS            ,3.29,BT7 2GG
8,MOLENAN (MULLENAN),L'Derry Rail Station,6.37,Dr. MCEVOY & PARTNERS               ,5.67,BT48 0LZ
9,GOVERNMENT HOUSE,L'Derry Rail Station,3.12,Dr. MCEVOY & PARTNERS               ,2.29,BT48 0LZ
10,TYRELLA HOUSE,Newcastle Bus Station,8.34,Dr. GREER & PARTNERS                ,5.85,BT42 3JU
11,MOUNT PANTHER,Newcastle Bus Station,7.28,Dr. GREER & PARTNERS                ,1.58,BT42 3JU
12,SEAFORDE HOUSE,Downpatrick Bus Station,8.48,Dr. GREER & PARTNERS                ,3.35,BT42 3JU
13,TYRELLA HOUSE,Newcastle Bus Station,8.34,Dr. GREER & PARTNERS                ,5.85,BT30 8RD
14,MOUNT PANTHER,Newcastle Bus Station,7.28,Dr. GREER & PARTNERS                ,1.58,BT30 8RD
15,SEAFORDE HOUSE,Downpatrick Bus Station,8.48,Dr. GREER & PARTNERS                ,3.35,BT30 8RD
16,GLENDARRAGH,Crumlin Rail Halt,1.1,Dr. BYRNE & PARTNERS                ,1.59,BT67 0DD
17,PORTMORE,Ballinderry Rail Halt,4.17,Dr. BYRNE & PARTNERS                ,3.5,BT67 0DD
18,HAWTHORNE HILL,Newry Bus Station,8.17,Dr. VETTIANKAL                      ,1.59,BT35 8JT
19,KNOCKTARNA HOUSE,Coleraine Bus & Rail,3.09,Dr. WALLACE & PARTNERS              ,2.54,BT52 1JX
